,0,1
0,4,ooDBBBooDooEAADooEoooooxoooooooooooo
1,4,oooooDooooCDAAooCDooooooooooooooooBB
2,5,oooFooBBBFooAADFooooDoooooECCoooEooo
3,5,oxCCDDoooooHAAoooHoooEEEoFFFGGoooooo
4,5,oBBoCCooFooGAAFooGooxoEEoooooooooooo
5,5,ooxCCCoooFoGAAoFoGoDDDoooEEEoooooooo
6,5,ooooooooxCCCAAFoooEoFGooEDDGoooooooo
7,5,oGBBoIoGCCoIAAoHoooooHooDDEExooooooo
8,5,ooFoooooFoooAAFoooEBBCCoEoooooDDoooo
9,5,oBBGooooFGooAAFGooEoCCoxEoooooEooooo
10,5,ooGBBBooGooHoFGAAHoFCCoooFDDEEoooooo
11,5,oooBBBooooCCAAooDEooooDEoooooFoooooF
12,5,ooxCCIDDoHoIGAAHooGooEEExooooooooooo
13,5,oxCCoHoooGoHAAoGooFooDDDFoooooEEoooo
14,6,ooDBBoooDoFoAAEoFoooEoxoooEooooooooo
15,6,oooxoooooEFoAAoEFoCCDDFooooooooooooo
16,6,oooEBBoooEFoooAAFooxDDDooooooooooooo
17,6,oGBBBooGoCCoAAooHoooooHooxEEFFoooooo
18,6,ooxDDDoooHIoxAAHIoGEEEooGoooooFFFooo
19,6,oEBBBooEooGooFAAGooFoooooFCCCoDDDooo
20,6,FBBCCoFoooGoAAooGoooooooooxEEEoooooo
21,6,BBBoxoooHDDDAAHooIEEEooIoooooooFFGGG
22,6,GBBCCCGooooJGAAooJHIDDEEHIoooooxoooo
23,6,oBBCCooDDHooAAGHooooGoooooxFFFoooooo
24,6,BBCCxoooJoooAAJooooIEEFFoIooooGGHHoo
25,6,oBBFCCoooFGoAAoFGoooDDooooooxooooooo
26,6,xCCCoooooHoooAAHooooGDDDooGoooEEEFFo
27,6,oGoooooGBBBoAAooHoCCooHoxEEFFooooooo
28,6,oxCCDDooIooJAAIooJoHEExooHooooGGGooo
29,6,ooooooooFoooAAFoooBBFoooEoooooECCoxo
30,6,ooBBooooGHooAAGHooooGxooFoooooFDDxoo
31,6,oFBBBooFCCCoAAGoHoooGoHooxoEEooooooo
32,6,oooooooBBBxHAAFooHooFGooxEEGoooooooo
33,6,oooEBBoooEoFAAoEoFoDCCoGoDoooGoooooG
34,6,BBBooGoCCooGAAFoooooFoooooxoEEoooooo
35,6,ooCCoIDDDEEIxAAHooGooHooGooFFFoooooo
36,6,ooEooGooEFoGAAEFoGDBBoxoDooooooooooo
37,6,oooHooxCCHoJAAGooJFoGoxoFoEEIoFoooIo
38,6,ooxoCCooGooHAAGooHFDDoxIFooooIoooooo
39,6,oooxooooxGHoAAFGHoooFDDooEEooooooooo
40,6,oooDBBoooDoFooAAoFoooEoooooECCoooooo
41,6,ooBBooooEFoGAAEFoGooExoooDDooooooooo
42,6,FBBBCCFooooHAAoooHoGoooooGDDEEoooooo
43,6,oFBBBooFooHIoGAAHIEGooooECCDDooooooo
44,6,oBBoCCoDDooJAAIooJHoIoooHEEFFxHooooo
45,6,oooooxCCCooIAAHooIooHDDDGoooooGEExoo
46,6,BBCCIJooHoIJAAHooJooooooxEExooooooGG
47,6,BBCCGHooDEGHAADEoHooDFoooooFoooooooo
48,6,oHBBCCoHoIoJAAoIoJoxooEEoFFFoooGGGoo
49,6,oooEBBooDEFGAADEFGoooooooooooxoooooo
50,6,ooIBBxxoIJooHAAJooHEEEooooooooFFGGoo
51,6,ooooEoooooEFAAooEFooBBBooooCCooooDDo
52,6,oxCCoHoooFGHAAoFGHoEoDDooEoooooooooo
53,6,ooBBCCoooooGAAoFoGoooFoooooFDDooEEoo
54,6,oIBBoxoIoJDDAAoJKooxFFKoooGGoooooHHo
55,6,GBBCCoGoIoooAAIJooHDDJooHEEoooHFFFoo
56,6,GooBBBGooHoIGAAHoICCDDoooEEEoooooFFF
57,6,ooIBBKxoIJoKHAAJooHooDDDooooEEFFFGGo
58,6,BBBCCoooGooIAAGHoIFDDHooFoooooooEEoo
59,7,IBBBCCIooooLIoAAoLDDxJFFoooJKoGGHHKo
60,7,GoIBBBGoIooKGoIAAKHCCJDDHooJooEEoxoo
61,7,IBBCCoIxEELoIAAKLoJooKFFJoooooooxHHH
62,7,ooJBBBoIJooKHIJAAKHICCxooxFFGGoooooo
63,7,oIBBCCoIDDDLoJKAALoJKEEExGGoxooooooo
64,7,oBBCCJxoooIJGAAoIJGoEEFFHoooooHooooo
65,7,GoIJBBGoIJoKGoIAAKHCCDDDHoooooEEFFoo
66,7,oFBBBooFooIooGAAIooGHoCCDDHooJEEEooJ
67,7,oHoBBBoHooCCoHAAIJoxooIJoEEFFxoooooo
68,7,oooxCCooooHIAAooHIoDDEEIoooooooFFGGG
69,7,ooGBBBEFGooIEFGAAIEFCCHJooooHJooooxo
70,7,FoHBBoFoHoIoFAAoIooxoooooGDDEEoGoooo
71,7,GBBCCoGDDDJoGAAoJoHIooooHIEEEoxIoooo
72,7,ooFBBBooFoGHAAFoGHoECCxHoEoooooooooo
73,7,xoGCCoooGooooAAoIoxEEEIooooHFFoooHoo
74,7,BBCCCooooHIoAAoHIooGDDDooGooooEEFFoo
75,7,oooHBBoooHoJAAoIoJoooICCooDDooooxFFx
76,7,oooFooBBBFooDAAFooDoooooEoooooECCCoo
77,7,oooooooBBCCCAAIooJooIooJoHIxEEoHFFGG
78,7,FGooIKFGBBIKooHAAKooHCCCxEEoJoooooJo
79,7,FBBCCCFooGoHFAAGoHoooGDDooEEoooooooo
80,7,EGBBCCEGooIoEGAAIoFoHoooFoHDDDoooooo
81,7,oBBoCCooFoGHAAFoGHooDDDxoooooooooooo
82,7,oooxCCoooFGooAAFGoooEDDoooEoooooEooo
83,7,ooFoooooFBBHoAAGoHoooGoxxEEEoooooooo
84,7,oooooxxoooHIGAAoHIGDDEEEFFoooooooooo
85,7,oooooxoooooGAAoooGoFooCCoFDDEEoFoooo
86,7,ooHBBBxoHooJGoHAAJGDDoIKooooIKEEoFFo
87,7,xoCCCooooFGoAAoFGoEoooHoEDDDHooooooo
88,7,ooxCCCoooooHAAoGoHoFoGDDoFoooooFoEEE
89,7,ooxCCoDDxoKooJAAKooJFFGGHHooooIIIooo
90,7,ooxCCCoooGHoAAoGHoFoooHoFDDDooFooEEo
91,7,DBBBCCDooEFGDAAEFGooooFHoooooHoooooH
92,7,oBBxooooGHooAAGHooFDDDooFoooooxooooo
93,7,ooBBCCIDDDEEIAAooKIFFGGKooJHHHooJooo
94,7,oBBBGooooFGoAAoFGoECCDDoEooooooooooo
95,7,ooxCCoooHooJAAHoIJoGDDIooGoooooGoxFF
96,7,oooooooBBoCCAAGoHIooGoHIDDDoHxooFFFo
97,7,oooooGoooooGAAoooGooBBCCoDDEEEoooFFF
98,7,oooooHBBBooHAAoooHoFCCDDoFooGoEEEoGo
99,7,oGoBBooGCCCoAAooHoDDooHoEEEFFooooooo
100,7,xCCCooDDDLEEAAKLoMooKFFMJoooooJGGxII
101,7,oxCCCoooooGoooAAGooDDDoooooFEEoooFoo
102,7,oGBBBxoGooHIoGAAHIDDooooooxoFFoooooo
103,7,oBBoFoooDoFGAADoFGooECCCooEooooooooo
104,7,GBBBooGooKoxGAAKoLHIDDoLHIJoooxIJFFF
105,7,BBCCoooooJKooAAJKoooIDDxooIooooxGGHH
106,7,ooBBooooGCCCAAGHooooGHoooDDxoooFFooo
107,7,oJBBxooJoKDDAAoKoLoxFFoLIoooooIGGGHH
108,7,oooooFoooDoFAAoDoGooBBoGoooECCoooEoo
109,7,EBBCCCEooDDDEAAoFGooooFGooooFHoooooH
110,7,ooFxooooFGoHAAFGoHoCCDDooEEooooooooo
111,7,oooooooBBCCoAAGHIoooGHIooDDxIooooFFo
